,PTemp_C_Avg
0,28.86
1,30.83
2,25.9
3,26.04
4,26.64
5,27.01
6,26.08
7,29.75
8,24.51
9,27.4
10,27.69
11,26.97
12,26.9
13,25.66
14,26.3
15,26.43
16,26.07
17,26.2
18,26.47
19,27.23
20,27.14
21,27.28
22,27.69
23,26.92
24,26.71
25,26.74
26,27.38
27,26.06
28,26.55
29,25.71
30,26.08
31,26.01
32,26.1
33,25.97
34,26.97
35,26.3
36,24.88
37,25.98
38,24.3
39,23.06
40,23.49
41,23.1
42,23.85
43,22.94
44,21.94
45,25.9
46,24.21
47,23.26
48,23.37
49,23.72
50,25.4
51,21.46
52,19.48
53,20.17
54,20.31
55,20.43
56,22.48
57,22.12
58,21.35
59,20.3
60,18.89
61,18.8
62,18.79
63,18.57
64,17.21
65,16.29
66,18.71
67,19.47
68,18.62
69,18.9
70,19.87
71,18.71
72,19.24
73,20.78
74,18.11
75,19.99
76,21.75
77,21.3
78,19.52
79,18.53
80,18.62
81,18.9
82,18.2
83,17.15
84,19.09
85,19.77
86,19.92
87,19.23
88,18.85
89,18.95
90,18.7
91,17.81
92,17.7
93,18.93
94,18.3
95,16.66
96,17.04
97,17.39
98,18.08
99,17.0
100,16.44
101,16.91
102,17.62
103,22.52
104,19.39
105,18.88
106,18.75
107,17.45
108,16.54
109,17.34
110,18.0
111,19.57
112,15.01
113,15.04
114,18.04
115,15.75
116,13.57
117,12.96
118,11.63
119,12.62
120,13.32
121,13.85
122,13.54
123,12.14
124,13.81
125,13.24
126,13.81
127,14.62
128,14.06
129,14.66
130,14.93
131,14.01
132,14.11
133,15.22
134,15.67
135,14.07
136,14.72
137,15.55
138,15.66
139,16.03
140,16.27
141,16.48
142,16.34
143,16.67
144,17.18
145,17.32
146,17.6
147,18.29
148,17.9
149,15.42
150,15.36
151,15.53
152,13.65
153,14.48
154,14.6
155,14.53
156,15.15
157,15.55
158,16.17
159,18.36
160,19.26
161,20.38
162,19.96
163,22.51
164,22.09
165,23.79
166,21.68
167,22.19
168,20.7
169,19.24
170,20.09
171,19.89
172,19.81
173,20.88
174,20.34
175,20.94
176,21.41
177,22.8
178,24.15
179,24.25
180,22.71
181,20.94
182,21.33
183,22.88
184,25.78
185,24.5
186,22.04
187,20.89
188,20.61
189,20.72
190,20.26
191,20.82
192,21.77
193,22.81
