,V_in_chg_Avg
0,9.74
1,13.17
2,10.7
3,10.65
4,10.73
5,9.97
6,9.64
7,11.44
8,9.02
9,10.35
10,10.35
11,9.69
12,9.67
13,9.9
14,10.07
15,10.14
16,10.04
17,9.86
18,9.56
19,9.24
20,9.02
21,9.09
22,8.44
23,8.88
24,8.8
25,9.25
26,9.44
27,9.29
28,8.77
29,9.22
30,9.3
31,9.03
32,8.78
33,8.62
34,8.91
35,9.12
36,8.6
37,8.95
38,9.57
39,9.44
40,9.44
41,8.8
42,8.85
43,8.83
44,7.35
45,8.91
46,8.48
47,8.73
48,8.77
49,7.016
50,8.91
51,7.137
52,8.85
53,9.28
54,8.48
55,8.08
56,8.48
57,8.95
58,8.64
59,9.04
60,8.87
61,9.2
62,9.18
63,8.7
64,7.234
65,6.49
66,8.11
67,8.44
68,8.03
69,6.787
70,7.875
71,7.672
72,7.05
73,8.34
74,6.715
75,7.476
76,7.29
77,6.989
78,7.563
79,8.42
80,8.53
81,8.5
82,8.57
83,7.791
84,8.14
85,8.83
86,8.72
87,8.58
88,8.38
89,8.55
90,8.65
91,8.77
92,8.65
93,8.54
94,8.56
95,8.4
96,8.36
97,8.38
98,8.3
99,8.74
100,9.03
101,8.98
102,7.421
103,8.37
104,9.01
105,8.91
106,8.97
107,9.04
108,9.0
109,9.07
110,8.86
111,9.38
112,9.39
113,9.48
114,9.06
115,8.88
116,9.4
117,9.21
118,6.659
119,8.24
120,9.03
121,9.47
122,9.32
123,9.04
124,9.54
125,9.76
126,9.65
127,9.6
128,9.65
129,9.78
130,9.87
131,8.87
132,8.84
133,8.94
134,12.65
135,7.896
136,9.03
137,8.79
138,8.45
139,8.1
140,8.47
141,8.98
142,8.49
143,7.93
144,9.56
145,9.31
146,8.7
147,9.75
148,8.72
149,7.694
150,9.8
151,10.39
152,10.55
153,10.53
154,10.38
155,10.55
156,10.49
157,10.43
158,9.82
159,10.06
160,10.0
161,10.3
162,9.59
163,9.89
164,10.34
165,10.5
166,10.5
167,10.74
168,10.86
169,10.2
170,10.29
171,9.08
172,10.85
173,10.81
174,10.8
175,10.83
176,10.87
177,10.84
178,11.05
179,10.94
180,11.22
181,11.21
182,11.28
183,11.05
184,10.74
185,10.12
186,11.7
187,11.51
188,11.24
189,11.57
190,11.66
191,11.82
192,11.74
193,11.52
