,Vapor_Pressure_Avg
0,1.377519
1,1.376933
2,1.355536
3,1.510307
4,1.761196
5,2.164879
6,2.214252
7,2.337833
8,2.069317
9,1.991579
10,2.103412
11,2.076036
12,2.077309
13,1.878041
14,1.849863
15,1.821204
16,1.923074
17,1.851084
18,2.013461
19,2.34088
20,2.444215
21,2.392405
22,2.400153
23,2.308383
24,2.348948
25,2.262462
26,2.17082
27,2.155102
28,1.979409
29,2.127028
30,2.171269
31,2.134559
32,2.098423
33,2.119723
34,2.242023
35,2.181258
36,2.039201
37,1.412765
38,1.104918
39,1.61104
40,1.58951
41,1.74765
42,1.604606
43,1.599353
44,1.773558
45,1.958277
46,1.951573
47,1.81509
48,1.680747
49,1.711921
50,1.64941
51,1.428219
52,0.877203
53,1.102543
54,1.358236
55,1.040731
56,1.444578
57,1.602078
58,1.359677
59,1.051524
60,1.274963
61,1.015796
62,0.9204776
63,1.09613
64,1.243511
65,1.262142
66,1.151706
67,1.380047
68,1.494468
69,1.576902
70,1.567134
71,1.523339
72,1.494521
73,1.340261
74,1.393854
75,1.519711
76,1.69954
77,1.658647
78,1.450577
79,1.231776
80,1.307252
81,1.39439
82,1.448392
83,1.356749
84,1.350453
85,1.308779
86,1.409558
87,1.461407
88,1.441546
89,1.343262
90,1.219586
91,1.24261
92,1.194465
93,1.247451
94,1.210173
95,1.198469
96,1.225955
97,1.312292
98,1.342846
99,1.18338
100,1.178765
101,1.1811
102,1.38339
103,1.366024
104,1.295619
105,1.216064
106,1.299306
107,1.152621
108,1.087112
109,1.143629
110,0.9432975
111,1.018583
112,0.7375056
113,0.6725621
114,1.041768
115,0.9272606
116,0.5332713
117,0.5845849
118,0.8319281
119,0.7643951
120,0.7022218
121,0.7101454
122,0.7904885
123,0.8481029
124,0.8594538
125,0.8501723
126,0.9538766
127,1.014439
128,0.9108461
129,0.9115521
130,0.99849
131,1.027184
132,0.9752101
133,1.059132
134,0.9752311
135,0.8608333
136,1.017814
137,1.059484
138,1.085149
139,1.18607
140,1.266957
141,1.230402
142,1.238354
143,1.306418
144,1.300174
145,1.300242
146,1.274643
147,1.286698
148,1.353095
149,0.8224279
150,0.8347556
151,0.7715436
152,0.5105782
153,0.6016424
154,0.7989144
155,0.6038433
156,0.7692156
157,0.9586875
158,0.9893691
159,1.139083
160,1.211658
161,1.302168
162,1.359069
163,1.127871
164,1.225801
165,1.402518
166,1.430293
167,1.12666
168,1.312703
169,1.420698
170,1.327421
171,1.360742
172,1.28939
173,1.364004
174,1.356491
175,1.333478
176,1.193492
177,1.439119
178,1.446314
179,1.499046
180,1.23625
181,1.343493
182,1.422834
183,1.508838
184,1.306886
185,1.410738
186,1.032442
187,1.060266
188,1.283513
189,1.253093
190,1.245975
191,1.302226
192,1.26004
193,1.470374
