,WTemp_C2_Avg
0,23.78284
1,22.68257
2,23.18041
3,23.01496
4,23.03265
5,23.39213
6,23.65126
7,23.93075
8,23.39305
9,23.35796
10,23.63958
11,23.43099
12,23.53152
13,23.46393
14,22.98124
15,22.85748
16,21.37174
17,23.12114
18,23.03341
19,23.14136
20,23.14235
21,23.41208
22,23.50626
23,23.51907
24,23.49296
25,23.56671
26,23.73686
27,23.76016
28,23.57799
29,23.41883
30,23.25691
31,23.23078
32,23.11911
33,23.02662
34,23.12451
35,23.11491
36,23.0787
37,23.11053
38,22.13985
39,21.70464
40,21.47332
41,21.15795
42,20.90012
43,20.7065
44,20.30898
45,20.28581
46,20.16294
47,20.04087
48,20.00171
49,19.77448
50,19.4246
51,17.78817
52,14.36436
53,12.80182
54,12.82799
55,12.49722
56,12.22559
57,12.16356
58,11.97171
59,11.37013
60,10.93714
61,10.94646
62,10.49471
63,9.774739
64,9.817219
65,9.424408
66,9.219416
67,8.850786
68,8.1184
69,1.897491
70,-0.9449207
71,-0.2129622
72,3.920223
73,4.730119
74,3.101725
75,3.451894
76,7.543038
77,9.923697
78,8.916011
79,8.55442
80,6.672279
81,7.621692
82,7.906578
83,7.207859
84,6.889739
85,8.319827
86,7.500682
87,6.082216
88,4.374498
89,5.688395
90,5.470255
91,6.49886
92,6.131342
93,5.255944
94,5.13332
95,4.676906
96,4.774965
97,4.907824
98,2.227418
99,3.299698
100,4.797446
101,4.030205
102,5.166386
103,5.71103
104,3.132625
105,4.692961
106,3.862373
107,6.613819
108,7.804703
109,7.654282
110,6.893731
111,7.42647
112,7.039377
113,6.851652
114,6.628909
115,6.517142
116,5.975238
117,5.821821
118,5.386219
119,5.233321
120,5.417286
121,5.292214
122,5.071713
123,5.018203
124,4.052131
125,4.239342
126,3.385925
127,2.896267
128,2.618275
129,2.262988
130,0.09073497
131,1.644493
132,3.488268
133,1.863862
134,4.981504
135,4.239483
136,4.72301
137,4.929599
138,4.785666
139,4.81459
140,5.115311
141,5.082119
142,5.03746
143,4.687895
144,4.106318
145,3.740583
146,0.9474413
147,1.12841
148,0.1863635
149,1.435966
150,1.842064
151,2.315351
152,5.555193
153,4.122512
154,3.023283
155,4.466003
156,1.773737
157,-1.145755
158,-1.142513
159,-0.7558143
160,-0.680226
161,-0.1494986
162,-0.3937734
163,0.5630023
164,0.5728751
165,0.9092169
166,0.5196727
167,0.7206997
168,-0.1911874
169,-0.4587294
170,-0.4589072
171,-0.1443153
172,-0.4694679
173,0.241751
174,-0.1589792
175,0.8795092
176,1.314934
177,1.58808
178,1.825081
179,1.972308
180,2.034908
181,0.7353204
182,1.083651
183,1.981645
184,3.34812
185,6.154153
186,7.795662
187,5.367415
188,2.056014
189,4.179487
190,6.83708
191,5.844193
192,3.78314
193,5.031104
