,PTemp_C_Max
0,33.16
1,36.66
2,35.82
3,36.73
4,36.12
5,33.4
6,31.28
7,34.24
8,27.28
9,37.12
10,34.47
11,32.56
12,35.05
13,34.73
14,33.74
15,33.41
16,33.05
17,32.54
18,33.65
19,30.67
20,30.26
21,32.73
22,33.33
23,30.71
24,31.49
25,33.3
26,33.8
27,32.0
28,33.98
29,30.49
30,30.49
31,28.72
32,29.49
33,31.04
34,31.7
35,31.62
36,28.75
37,31.68
38,29.14
39,29.27
40,29.68
41,29.73
42,30.62
43,26.99
44,24.56
45,30.75
46,27.07
47,29.89
48,29.42
49,25.98
50,31.55
51,23.93
52,22.53
53,24.97
54,23.53
55,25.43
56,27.62
57,27.77
58,27.85
59,26.0
60,25.64
61,22.57
62,23.3
63,24.93
64,20.96
65,17.12
66,25.5
67,25.45
68,22.0
69,21.22
70,26.51
71,23.51
72,22.09
73,26.97
74,20.66
75,26.41
76,23.69
77,22.64
78,21.32
79,24.09
80,24.94
81,25.67
82,22.05
83,21.52
84,25.74
85,24.23
86,24.81
87,25.79
88,25.39
89,26.44
90,26.58
91,24.57
92,24.26
93,26.08
94,25.93
95,23.42
96,23.87
97,24.46
98,24.29
99,24.21
100,22.92
101,24.07
102,20.43
103,29.31
104,25.14
105,25.5
106,23.86
107,24.29
108,23.45
109,23.81
110,23.08
111,22.66
112,17.66
113,18.73
114,22.8
115,20.65
116,19.55
117,17.84
118,13.01
119,17.49
120,17.79
121,19.83
122,19.37
123,16.61
124,18.89
125,18.78
126,20.33
127,19.97
128,21.16
129,22.91
130,21.91
131,20.02
132,17.59
133,18.1
134,17.01
135,16.9
136,17.23
137,18.26
138,18.64
139,18.13
140,18.49
141,18.68
142,18.33
143,18.74
144,20.25
145,19.88
146,23.51
147,24.1
148,22.68
149,18.82
150,22.11
151,20.46
152,15.72
153,20.51
154,19.69
155,19.69
156,20.07
157,20.39
158,22.74
159,24.36
160,24.97
161,26.25
162,24.57
163,28.96
164,28.2
165,28.62
166,26.7
167,27.68
168,24.67
169,22.98
170,25.29
171,25.1
172,24.02
173,25.43
174,25.08
175,25.68
176,26.64
177,29.23
178,29.99
179,29.49
180,26.02
181,24.47
182,25.26
183,29.62
184,32.06
185,27.25
186,25.32
187,24.23
188,24.5
189,23.3
190,22.79
191,24.6
192,27.12
193,27.55
