id,low,hi,m,q,costAIC
0,0,8,-0.719833,36.7338,19.4318
1639,9,18,-0.292121,37.9756,5.18453
3364,19,28,0.29097,25.3892,5.3661
4993,29,42,-0.0263736,31.1091,4.60211
6951,42,50,0.159167,21.215,19.7422
8217,51,65,-0.259,39.2987,31.568
10140,66,83,-0.0706708,28.945,28.5877
12148,84,102,-0.164842,39.9351,6.8707
13912,103,118,-0.715647,101.038,23.2207
15116,119,130,0.412797,-31.8066,5.93894
15857,131,145,0.111393,3.04445,-0.0994702
16571,146,154,-0.638833,116.669,15.8773
16863,154,162,0.882833,-116.962,3.17133
17123,163,179,0.0416422,19.571,28.3669
17375,180,193,-0.127143,49.7186,28.3415
