id,low,hi,m,q,costQRMSEn
0,0,8,0.133698,1.26163,0.703081
1639,9,18,-0.0189737,2.21465,0.23168
3363,19,27,-0.0312398,3.03222,0.0670502
4830,28,36,0.00880883,1.83955,0.130853
6216,37,45,0.0696615,-1.25594,0.508615
7380,45,53,-0.124185,7.66008,0.564535
8613,54,62,-0.0452604,3.85489,0.918664
9641,62,70,0.0774793,-3.81447,0.132861
10605,70,78,0.00881973,0.863738,0.307782
11615,79,89,0.0106365,0.475037,0.123953
12738,90,101,-0.000925622,1.31649,0.103119
13821,102,110,-0.0484669,6.34716,0.0682094
14231,110,115,-0.0364233,5.01236,0.45055
14907,116,125,0.0299592,-2.86261,0.140058
15561,126,134,0.00773095,-0.024361,0.0498649
16065,135,143,0.04946,-5.73589,0.0580518
16310,143,148,0.00966403,-0.107512,0.0166199
16688,149,157,0.00502257,-0.0271629,0.473112
16985,158,166,0.0401332,-5.25848,0.211552
17201,167,175,0.0134536,-0.979281,0.128401
17220,175,176,-0.011285,3.26974,0.0719243
17346,177,185,-0.00542733,2.38385,0.188572
17390,185,193,0.0227953,-3.05069,0.390023
