id,low,hi,m,q,costRMSE
172,0,199,-0.00105498,23.4264,10.1124
202517,200,244,-0.0473987,31.6843,0.166159
242566,245,288,-0.0194152,25.1177,0.218395
279752,289,316,-0.035634,28.422,0.116239
302443,317,368,-0.05465,35.1388,0.106659
341743,368,450,0.00930672,11.5766,0.1826
400062,451,503,-0.00353038,16.9998,0.110648
433717,504,556,-0.0251143,28.2215,0.154292
464546,557,587,-0.01197,21.2137,0.153466
479174,587,613,0.0243848,-0.144125,0.150852
494581,614,645,-0.0190161,26.1939,0.0712873
510018,646,674,-0.044654,42.1813,0.102626
518702,674,694,-0.0810139,66.5527,0.0767516
531756,695,803,0.00897219,4.01555,0.437022
570349,803,865,0.0385689,-19.6254,0.107385
588467,866,913,-0.0464266,54.0431,0.157812
598788,913,999,0.0658276,-48.5222,0.663145
612563,1000,1090,0.0365174,-19.8731,0.393618
618617,1091,1138,-0.0028643,22.3899,0.408351
