uno,dos,tres,cuatro,cinque
0,9,0.006060606060606338,3.7727272727272694,0.30161183161424054
0,10,0.036363636363636265,3.6818181818181834,0.2787219948501071
0,11,0.20629370629370616,3.1153846153846163,0.40107785043983935
0,12,0.31868131868131877,2.7032967032967035,0.4323693262484197
0,13,0.45164835164835154,2.1714285714285717,0.493231832637169
0,14,0.5642857142857143,1.6833333333333358,0.5294701354548945
0,15,0.7044117647058824,1.029411764705881,0.6067037037889059
0,16,0.8161764705882355,0.47058823529411753,0.6436090801694238
0,17,0.9066047471620222,-0.011695906432746934,0.6593190212409634
0,18,0.9885964912280699,-0.47631578947368425,0.671042221055162
0,19,1.069924812030075,-0.9642857142857166,0.687292689180893
1,10,0.15757575757575756,2.8333333333333335,0.21334280282013618
1,11,0.33636363636363636,2.118181818181819,0.35326107686773545
1,12,0.4458041958041958,1.6439393939393923,0.38014205298214565
1,13,0.5796703296703294,1.0192307692307694,0.4403324264867655
1,14,0.6901098901098901,0.4670329670329679,0.4730870878484677
1,15,0.8321428571428573,-0.2904761904761935,0.551136392149278
1,16,0.9419117647058827,-0.9124999999999985,0.5845074460635009
1,17,1.0281862745098038,-1.4301470588235266,0.5959681317924803
1,18,1.1057791537667698,-1.9215686274509776,0.6040087746926524
1,19,1.1833333333333333,-2.4385964912280755,0.6174542058021937
2,11,0.33939393939393936,2.093939393939392,0.3885481913092596
2,12,0.4681818181818179,1.45,0.41231511805172083
2,13,0.6206293706293707,0.6369463869463853,0.468806922642393
2,14,0.7417582417582418,-0.049450549450549275,0.4951812795758433
2,15,0.8967032967032968,-0.9791208791208801,0.5682357820608915
2,16,1.0124999999999997,-1.7124999999999926,0.5946287357110597
2,17,1.1007352941176474,-2.3007352941176493,0.5991830087987211
2,18,1.178921568627451,-2.848039215686276,0.6009793102530193
2,19,1.2569659442724457,-3.420364637082912,0.6088819217190394
3,12,0.509090909090909,1.0818181818181847,0.4474168282282397
3,13,0.6818181818181817,0.04545454545454735,0.4967966506491045
3,14,0.8129370629370629,-0.7849650349650342,0.5140968782565212
3,15,0.9807692307692307,-1.9038461538461566,0.5800212668554072
3,16,1.1010989010989005,-2.746153846153841,0.597750323841308
3,17,1.1892857142857145,-3.3928571428571366,0.5942983057274152
3,18,1.266176470588235,-3.9823529411764667,0.5891218617694524
3,19,1.343137254901961,-4.598039215686275,0.5909682763311628
4,13,0.8090909090909091,-1.227272727272731,0.4951583768672587
4,14,0.940909090909091,-2.1500000000000004,0.5000187825172396
4,15,1.1153846153846159,-3.4294871794871837,0.5575418551354869
4,16,1.2335164835164831,-4.335164835164829,0.5656621477418006
4,17,1.3153846153846152,-4.990109890109882,0.5540883543830207
4,18,1.385714285714286,-5.576190476190479,0.5423249967652258
4,19,1.4573529411764703,-6.197058823529414,0.5388033530972349
5,14,1.1000000000000005,-3.900000000000012,0.46797435827190365
5,15,1.2772727272727282,-5.318181818181829,0.5164280893309712
5,16,1.3881118881118883,-6.241841491841494,0.5145552075745241
5,17,1.45879120879121,-6.854395604395623,0.49530437020380425
5,18,1.5186813186813188,-7.393406593406591,0.4776866865755307
5,19,1.5821428571428573,-7.985714285714273,0.4695658244506977
6,15,1.43939393939394,-7.263636363636372,0.48576712215803264
6,16,1.5409090909090908,-8.177272727272731,0.4723576113473203
6,17,1.597902097902099,-8.709207459207471,0.4452374311660804
6,18,1.6456043956043953,-9.170329670329673,0.421778149427726
6,19,1.6999999999999997,-9.714285714285722,0.40881325795940365
7,16,1.7030303030303011,-10.284848484848464,0.4280682471784425
7,17,1.7409090909090903,-10.663636363636352,0.3941485988259044
7,18,1.7727272727272727,-10.992424242424239,0.36591118220955376
7,19,1.8159340659340668,-11.453296703296713,0.34850567644642194
8,17,1.93939393939394,-13.442424242424254,0.2407689701138769
8,18,1.9409090909090916,-13.459090909090918,0.21889518365532423
8,19,1.9632867132867124,-13.71270396270396,0.2047427571541827
9,18,1.9696969696969704,-13.890909090909098,0.23503706993243462
9,19,1.9909090909090907,-14.145454545454536,0.21652261677769016
10,19,2.0727272727272714,-15.454545454545444,0.18610847276887627
